SKU	Brand	Line	Vitola	Wrapper	Binder	Filler	Wrapper Role	Binder Role	Filler Role	Flavor Notes	Strength	Tier	MSRP	Length	Ring	Catalog Line	Member Blurb	Best For	Avoid If	Why Recommend	Data Grade	CA Rating	Stick Size	Repr Vitola	Origin	Factory	Beginner Safe
VID-20-DEF-CLASSIC-ROB	Definition Cigars	Classic	Robusto	Nicaragua Habano	Nicaragua	Nicaragua	Nicaragua Habano wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, earth, nuts, light spice, creamy smoke	3	3	12	5	50	La Aurora Family Creed Series Fuerte Sol · 5 × 50 · Robusto · Medium-Full · Dominican · $12 · Notes: savory spice, earth, cocoa, leather	Modern La Aurora — Mexican wrapper richness over a multinational filler stack. Heritage brand with rum-friendly savory depth.	Verified against https://www.cigaraficionado.com/ratings/8990/name/definition-cigars-classic-robusto.	Opposite wrapper lesson needed, or user wants island Cuban only.	Recommend when teaching Classic identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	10		5 × 50 · Robusto				Yes
CA25-08-DIPLOMATICOS-GENIOS	Diplomaticos	Genios Exclusivo Phoenicia	Genios	Cuba	Cuba	Cuba	Cuban wrapper brings wood, earth, and elegant regional-edition aroma.	Cuban binder keeps the puro profile integrated and classic.	Cuban filler supplies Cuban earth, cedar, spice, and collector appeal.	caramel, peaches, autumn apples, tea, cigar box, earth	5	7	16	6	52	My Father The Judge · 6 × 52 · Toro · Full · Nicaragua · $16 · Notes: cocoa, coffee, earth, dark sweetness	The Judge in toro - same Pepín family power as the 2024 COTY grand robusto, but a classic 6x52 format for a full after-dinner arc.	Verified against https://www.cigaraficionado.com/top25cigar/diplomaticos-genios-exclusivo-phoenicia-2025.	User wants easy U.S. availability, low cost, or non-Cuban sourcing.	Recommend only when rarity and Cuban regional identity are part of the request.	10		6 × 52 · Toro				No
BB25-08-DONDIEGO-COR	Don Diego	Don Diego	Corona	Ecuador Connecticut	Dominican Republic	Dominican Republic	Ecuador Connecticut wrapper sets top-note, color, and burn for this vitola.	Dominican Republic binder supports structure and integration with the filler.	Dominican Republic filler drives body, strength, and the flavor arc Sterlon should echo.	cream, cedar, nuts, toast, light sweetness	2	3	14	5.5	54	La Flor Dominicana Double Ligero Chiselito Maduro · 5½ × 54 · Chisel · Full · Dominican · $14 · Notes: cocoa, earth, pepper, espresso	Double Ligero in Chiselito maduro — broadleaf cocoa and pepper in the signature LFD shape. Shorter than full Chisel DL.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/don-diego-corona-2025.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $6' requests - cite CA 2025 Best Buy list.	10		5½ × 54 · Chisel				Yes
BB25-01-DONLINO-KUDU	Don Lino	Africa	Kudu	Nicaragua	Nicaragua	Nicaragua	Nicaragua wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, leather, baking spice, earth, sweet pepper	3	3	13	6	52	My Father Le Bijou 1922 Toro · 6 × 52 · Toro · Full · Nicaragua · $13 · Notes: dark cocoa, espresso, leather, black pepper	Garcia family dark maduro — espresso, leather, and pepper in an oscuro wrapper. Winter-night Nicaraguan without Liga hype.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/don-lino-africa-kudu-2025.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $6' requests - cite CA 2025 Best Buy list.	10		6 × 52 · Toro				Yes
BB25-15-DONLINO-GT	Don Lino	Maduro	Gran Toro	Broadleaf Maduro	Dominican Republic	Dominican Republic / Nicaragua	Broadleaf Maduro wrapper sets top-note, color, and burn for this vitola.	Dominican Republic binder supports structure and integration with the filler.	Dominican Republic / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cocoa, coffee, earth, dark sweetness, cedar	4	3	14	6	52	Ferio Tego Timeless Prestige · 6 × 52 · Toro · Medium-Full · Nicaragua · $14 · Notes: cedar, wood, earth, leather	Ferio Tego Timeless Prestige toro - Plasencia-made Nicaraguan polish and wood. Sister line to Supreme 650 on the 2025 Top 25 list.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/don-lino-maduro-gran-toro-2025.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $7' requests - cite CA 2025 Best Buy list.	10		6 × 52 · Toro				Maybe
BB25-12-DPG-DEMI	Don Pepin Garcia	Original	Demi Tasse	Nicaragua	Nicaragua	Nicaragua	Nicaragua wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	pepper, cedar, leather, espresso, sweet spice	4	2	5	5	50	Curivari Buenaventura Favoritos Connecticut · 5 × 50 · Robusto · Medium-Light · Nicaragua · $5 · Notes: cream, cedar, nuts, toast	Curivari Connecticut 50 - mild creamy robusto for value hunters who want width without strength.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/don-pepin-garcia-original-demi-tasse-2025.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $3' requests - cite CA 2025 Best Buy list.	10		5 × 50 · Robusto				Maybe
CUR-23-LIGA-H99-ROB	Drew Estate	Liga Privada H99	Robusto	Connecticut Corojo hybrid	Brazil	Nicaragua / Honduras	Connecticut Corojo hybrid wrapper sets top-note, color, and burn for this vitola.	Brazil binder supports structure and integration with the filler.	Nicaragua / Honduras filler drives body, strength, and the flavor arc Sterlon should echo.	earth, dark chocolate, espresso, apple pie, raisin	4	6	4	4	38	Rocky Patel Vintage 1990 Juniors · 4 × 38 · Petit Corona · Medium · Honduras · $4 · Notes: cedar, wood, earth, leather	Vintage 1990 juniors - sub-$5 short smoke with RP polish. Stock the humidor cheap.	Verified against https://www.cigaraficionado.com/ratings/25581/name/liga-privada-h99-corona-doble-churchill.	Beginner nicotine-sensitive, opposite wrapper style, or very short time window.	Recommend when the user cites this hall-of-fame stick, Liga Privada H99, or asks for a medium-full sweet spice reference.	10		4 × 38 · Petit Corona				Maybe
L5-DREW-LIGA9	Drew Estate	Liga Privada No. 9	Robusto / Toro / Corona Doble	Connecticut Broadleaf	Brazilian Mata Fina	Honduras / Nicaragua	Connecticut Broadleaf wrapper delivers dark chocolate, espresso, and fermented sweetness with oily richness.	Brazilian Mata Fina binder adds aromatic sweetness and savory depth distinctive to Liga blends.	Honduran and Nicaraguan filler provide earth, subtle barnyard, cocoa, and private-blend density.	hickory, raisins, cocoa, leather	6	5	7	4	40	7-20-4 Factory 57 Dog Walker · 4 × 40 · Petit Corona · Medium · Honduras · $7 · Notes: earth, savory spice, cedar, cocoa	Dog walker petit - 30-minute smoke when time is tight. Honduran daily driver.	Verified against https://www.cigaraficionado.com/ratings/23945/name/liga-privada-no.-9-robusto-robusto.	Beginner, mild Connecticut preference, user dislikes earthy private-blend character.	Recommend when the user wants benchmark private-blend dark richness with Liga Privada pedigree.	10		4 × 40 · Petit Corona				No
CA25-11-LIGA-T52	Drew Estate	Liga Privada T52	Corona Viva	Connecticut Habano	Brazil	Honduras / Nicaragua	Stalk-cut Connecticut Habano wrapper adds dark spice, strength, and oily texture.	Brazilian binder adds sweetness, aroma, and savory depth.	Honduran and Nicaraguan filler deliver power, earth, and Liga Privada density.	earth, caramel, cinnamon, clove	5	5	7	7.5	54	Nica Rustica Belly · 7½ × 54 · Figurado · Medium-Full · Nicaragua · $7 · Notes: earth, savory spice, cedar, cocoa	Nica Rustica belly figurado - big flavor and 7½-inch session under $7. Power on a budget.	Verified against https://www.cigaraficionado.com/top25cigar/liga-privada-t52-corona-viva-2025.	Beginner, user wants mildness, or user dislikes heavy dark profiles.	Recommend when the user wants concentrated Liga power without a huge cigar.	10		7½ × 54 · Figurado				No
L5-DTT-SINCOMP	Dunbarton Tobacco & Trust	Sin Compromiso	No. 2 / No. 5 / Seleccion	Mexican San Andres Maduro	Ecuador Habano	Nicaragua	San Andrés maduro wrapper contributes dark earth, cocoa, chicory, and savory sweetness.	Ecuador Habano binder adds structure, spice lift, and cohesion for the complex filler stack.	Nicaraguan filler provides body, loam, espresso undertones, and evolving savory depth.	hot cocoa, soft leather, cream, earth, chicory root	5	5	6	4.5	48	A.J. Fernandez Last Call Maduro Corona · 4½ × 48 · Corona · Medium · Nicaragua · $6 · Notes: cocoa, coffee, earth, dark sweetness	Last Call Maduro corona — short San Andrés hit when time is tight. Value-tier AJ closer for the progression.	Verified against https://www.smallbatchcigar.com/sin-compromiso-seleccion-no2-by-dunbarton-tobacco.	Beginner, user wants mild Connecticut, or needs lowest price-point daily smoke.	Recommend for no-compromise boutique balance—rich, savory, and nuanced rather than one-note strength.	10		4½ × 48 · Corona				No
VID-11-EPC-ALLEGIANCE-TORO	E.P. Carrillo	Allegiance	Toro	United States Connecticut Broadleaf	Ecuador Sumatra	Nicaragua	United States Connecticut Broadleaf wrapper sets top-note, color, and burn for this vitola.	Ecuador Sumatra binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	nutmeg, cinnamon, wood, gingerbread, pepper	4	5	15	6	52	Dunbarton Tobacco & Trust Sin Compromiso No. 2 · 6 × 52 · Toro · Medium-Full · Nicaragua · $15 · Notes: hot cocoa, leather, cream, earth	Saka's savory San Andrés maduro — hot cocoa, chicory, and earth in a balanced, no-compromise blend. Rich without being a nicotine bomb.	Verified against https://www.cigaraficionado.com/ratings/24231/name/e-p-carrillo-allegiance-confidant-toro.	Beginner seeking ultra-mild only when strength is medium-full or full.	Recommend when teaching Allegiance identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	10		6 × 52 · Toro				Maybe
CA24-03-EPC-ENCORE	E.P. Carrillo	Encore	Celestial	Nicaragua	Nicaragua	Nicaragua	Nicaragua wrapper sets the top-note character, color, and burn personality for this vitola.	Nicaragua binder supports structure, combustion, and integration with the filler stack.	Nicaragua filler drives body, strength, and the core flavor arc Sterlon should echo.	cedar, wood, earth, leather, mineral tobacco	4	6		6.38	54	Cohiba Pirámides Extra · 6.375 × 54 · Pirámide · Medium-Full · Cuban · — · Notes: caramel, cream, oak, almond	Island Cohiba piramide - cocoa, leather, and refined Cuban luxury in a tapered format. Collector Cuban only.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/e-p-carrillo-encore-celestial-2024.	Beginner nicotine-sensitive, very short time window, or user wants opposite body/wrapper style.	Recommend when the user asks for 2024 Top 25 picks, Encore, or a medium-full bourbon-friendly smoke at this size.	10		6.375 × 54 · Pirámide				Maybe
CUR-02-EPC-MAJESTIC	E.P. Carrillo	Encore	Majestic	Nicaragua	Nicaragua	Nicaragua	Nicaragua wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	oak, tea, caramel, orange peel, woody	4	6	32	7	48	Arturo Fuente Fuente Fuente OpusX · 7 × 48 · Churchill · Full · Dominican · $32 · Notes: cedar, baking spice, sweet tobacco, toast	The classic OpusX Reserva d'Chateau - Dominican puro prestige, cedar, fruit, and baking spice in a 7x48 Churchill. Not the Angel's Share variant.	Verified against https://www.cigaraficionado.com/ratings/20939/name/e-p-carrillo-encore-majestic.	Beginner nicotine-sensitive, opposite wrapper style, or very short time window.	Recommend when the user cites this hall-of-fame stick, Encore, or asks for a medium-full woodsy reference.	10		7 × 48 · Churchill				Maybe
BB25-02-ERDM-SHADE-CH	El Rey del Mundo	Shade Grown	Churchill	Ecuador Connecticut	Honduras	Honduras / Nicaragua	Ecuador Connecticut wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Honduras / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cream, cedar, nuts, toast, light sweetness	2	3	10	5	52	A.J. Fernandez Bellas Artes Maduro Robusto · 5 × 52 · Robusto · Medium · Nicaragua · $10 · Notes: cocoa, coffee, earth, dark sweetness	Bellas Artes Maduro robusto — Brazilian Mata Fina cocoa and polished sweetness. AJ's refined, dessert-leaning side.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/el-rey-del-mundo-shade-grown-churchill-2025.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $7' requests - cite CA 2025 Best Buy list.	10		5 × 52 · Robusto				Yes
VID-16-ESTEBAN-MOFO-ROB	Esteban Carreras	Maduro Mofo	Robusto	San Andrés Maduro	Nicaragua	Nicaragua	San Andrés Maduro wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cocoa, earth, pepper, espresso, dark sweetness	4	4	7	5.5	44	Brick House · 5½ × 44 · Corona · Medium · Nicaragua · $7 · Notes: earth, savory spice, cedar, cocoa	Brick House corona returns on the 2025 list - savory Brazilian-Nicaraguan character in under an hour.	Verified against https://www.cigaraficionado.com/ratings/8986/name/esteban-carreras-maduro-mofo-robusto.	Beginner seeking ultra-mild only when strength is medium-full or full.	Recommend when teaching Maduro Mofo identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	10		5½ × 44 · Corona				No
CA24-24-FERIO-SUMMA	Ferio Tego	Summa	Corona Gorda	Nicaragua	Nicaragua	Nicaragua	Nicaragua wrapper sets the top-note character, color, and burn personality for this vitola.	Nicaragua binder supports structure, combustion, and integration with the filler stack.	Nicaragua filler drives body, strength, and the core flavor arc Sterlon should echo.	cedar, wood, earth, leather, mineral tobacco	4	5	12	5	54	Aganorsa Leaf Signature Selection Robusto · 5 × 54 · Robusto · Medium-Full · Nicaragua · $12 · Notes: earth, savory spice, cedar, cocoa	Aganorsa Signature Selection — corojo-forward Nicaraguan savory spice and earth. Teaches Aganorsa house flavor.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/ferio-tego-summa-corona-gorda-2024.	Beginner nicotine-sensitive, very short time window, or user wants opposite body/wrapper style.	Recommend when the user asks for 2024 Top 25 picks, Summa, or a medium-full rum-friendly smoke at this size.	10		5 × 54 · Robusto				Maybe
CUR-18-FERIO-PRESTIGE	Ferio Tego	Timeless Prestige	Toro	Nicaragua	Nicaragua	Nicaragua	Nicaragua wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	nuts, wood, cedar, almond, molasses, vanilla	4	5	10	6	60	Leaf by Oscar Island Maduro Gordo · 6 × 60 · Gordo · Medium-Full · Honduras · $10 · Notes: earth, savory spice, cedar, cocoa	Leaf by Oscar Island Maduro gordo — leaf-wrapped Honduran savory session. Peel-and-smoke ritual teaches presentation cigars.	Verified against https://www.cigaraficionado.com/ratings/24199/name/ferio-tego-timeless-prestige-churchill-churchill.	Beginner nicotine-sensitive, opposite wrapper style, or very short time window.	Recommend when the user cites this hall-of-fame stick, Timeless Prestige, or asks for a medium-full woodsy reference.	10		6 × 60 · Gordo				Maybe
CA25-10-FERIO-TIMELESS	Ferio Tego	Timeless Supreme	650	Nicaragua	Nicaragua	Nicaragua	Nicaraguan wrapper adds spice, sweetness, and unified puro character.	Nicaraguan binder supports body and clean combustion.	Nicaraguan filler provides rich regional backbone and modern boutique balance.	toffee, cocoa, toasty marshmallow, nuts	5	5	9	5	52	Aladino Corojo Reserva Robusto · 5 × 52 · Robusto · Medium-Full · Honduras · $9 · Notes: cedar, wood, earth, leather	Aladino Corojo Reserva — Honduran corojo spice and cedar. Eiroa corojo identity beyond petit corona Best Buys.	Verified against https://www.cigaraficionado.com/top25cigar/ferio-tego-timeless-supreme-650-2025.	User wants classic mild Dominican or very low intensity.	Recommend as a newer-brand premium Nicaraguan puro with proven critical acclaim.	10		5 × 52 · Robusto				No
CUR-07-FDLA-TG	Flor de las Antillas	Flor de las Antillas	Toro Gordo	Nicaragua	Nicaragua	Nicaragua	Nicaragua wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	earth, cocoa, anise, sweet	4	5		7.63	49	Partagás Lusitania · 7.625 × 49 · Churchill · Full · Cuban · — · Notes: cedar, wood, earth, leather	Legendary Partagas lusitania - pepper, earth, and full Churchill power. One of the reference Cuban large formats.	Verified against https://www.cigaraficionado.com/ratings/19863/name/flor-de-las-antillas-maduro-toro-gordo-toro.	Beginner nicotine-sensitive, opposite wrapper style, or very short time window.	Recommend when the user cites this hall-of-fame stick, Flor de las Antillas, or asks for a medium-full sweet spice reference.	10		7.625 × 49 · Churchill				Maybe
BB24-07-FYR-18TH	Flores y Rodriguez	18th Anniversary Millefleurs	Corona	Ecuador	Dominican Republic	Dominican Republic / Nicaragua	Ecuador wrapper sets top-note, color, and burn for this vitola.	Dominican Republic binder supports structure and integration with the filler.	Dominican Republic / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, wood, earth, leather, mineral tobacco	3	3	5.71	5	42	Romeo y Julieta 1875 Churchill · 7 × 47 · Churchill · Medium · Dominican · $9 · Notes: cedar, earth, toasted nuts, light pepper	Old-school Dominican heritage — cedar, earth, and toasted nuts without harsh edges. A step up from ultra-mild with Cuban-legacy character.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/flores-y-rodriguez-18th-anniversary-millefleurs-corona-2024.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $6' requests - cite CA 2024 Best Buy list.	10		5 × 42 · Corona				Yes
CA25-22-OLMEC-MADURO	Foundation Cigar Company	Olmec Maduro	Grande	Mexico	Nicaragua	Nicaragua	Mexican San Andres Maduro wrapper adds cocoa, earth, dark sweetness, and dense texture.	Nicaraguan binder supports the broad 60-ring format and strong maduro profile.	Nicaraguan filler provides strength, spice, and long-format body.	earth, spice, coffee bean, black cherry	6	5	5	6	60	Punch Rare Corojo · 4⅛ × 42 · Petit Corona · Medium-Full · Honduras · $5 · Notes: cedar, baking spice, sweet tobacco, toast	Rare Corojo Rapido - corojo spice in a quick petit corona. Punch value line under $5.50.	Verified against https://www.cigaraficionado.com/top25cigar/olmec-maduro-grande-2025.	User has only 30-60 minutes, beginner, or dislikes large ring gauges.	Recommend when the user wants a long, dark, full-bodied San Andres experience.	10		4⅛ × 42 · Petit Corona				No
L5-FOUND-TABERNACLE	Foundation Cigar Company	The Tabernacle CT Broadleaf	Robusto / Toro / Lancero	Connecticut Broadleaf	Mexican San Andres	Nicaragua / Honduras	Connecticut Broadleaf wrapper brings fermented dark sweetness, cocoa, and dense oily texture.	Mexican San Andrés binder adds earthy sweetness and savory depth under the broadleaf.	Nicaraguan and Honduran filler supply body, spice, espresso, and a broad dark flavor core.	chocolate, vanilla, spice, oak	6	5	9	5	52	Esteban Carreras Maduro Mofo Robusto · 5 × 52 · Robusto · Medium-Full · Nicaragua · $9 · Notes: cocoa, earth, pepper, espresso	Maduro Mofo robusto — San Andrés cocoa and pepper in a value maduro. Transcript 'Mad Mofo' normalized.	Verified against https://www.cigaraficionado.com/ratings/19417/name/the-tabernacle-lancero.	User wants mild cream, short smoke, low nicotine, or very simple Connecticut flavors.	Recommend when the user wants boutique broadleaf depth with strong identity and texture.	10		5 × 52 · Robusto				No
CA25-16-GELLIS-SAUNTER	Gellis Family Cigars	Saunter	Robusto	Ecuador Connecticut-seed	Ecuador	Dominican Republic / Nicaragua	Ecuador Connecticut-seed wrapper gives cream, elegance, and aromatic softness.	Ecuadorian binder adds structure and subtle spice under the creamy wrapper.	Dominican and Nicaraguan filler provide medium body, sweetness, and boutique balance.	nuts, wood, sweetness	4	5	18	5	52	Drew Estate Liga Privada H99 Robusto · 5 × 52 · Robusto · Medium-Full · Nicaragua · $18 · Notes: cedar, baking spice, sweet tobacco, toast	Liga Privada H99 - Connecticut hybrid wrapper, sweet spice, and Brazilian binder in a 5x52 robusto. Bridges No. 9 darkness and T52 pepper.	Verified against https://www.cigaraficionado.com/top25cigar/gellis-family-cigars-saunter-2025.	User wants full strength, dark maduro, or collector rarity.	Recommend as a boutique medium cigar with polish and approachability.	10		5 × 52 · Robusto				Maybe
BB24-01-GRAN-HABANO	Gran Habano	Habano No. 3	Lunch Break	Nicaragua	Nicaragua	Nicaragua / Costa Rica	Nicaragua wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua / Costa Rica filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, toasted bread, pepper, earth, sweet spice	3	3	6	4.13	42	Aladino · 4⅛ × 42 · Petit Corona · Medium · Honduras · $6 · Notes: cedar, wood, earth, leather	Corojo-seed Honduran value - cedar and nuts in a short petit corona. Eiroa heritage without anniversary pricing.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/gran-habano-habano-no-3-lunch-break-2024.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $6' requests - cite CA 2024 Best Buy list.	10		4⅛ × 42 · Petit Corona				Yes
CUR-10-UPMANN-M50	H. Upmann	Magnum	Magnum 50	Cuba	Cuba	Cuba	Cuba wrapper sets top-note, color, and burn for this vitola.	Cuba binder supports structure and integration with the filler.	Cuba filler drives body, strength, and the flavor arc Sterlon should echo.	light, medium, balanced, woody, creamy	3	6	6	5.25	42	Arturo Fuente · 5¼ × 42 · Petit Corona · Medium · Dominican · $6 · Notes: cedar, wood, earth, leather	Classic Fuente petit corona - Cameroon wrapper, Dominican balance. Heritage smoke at six-dollar MSRP.	Verified against https://www.habanos.com/en/news/habanos-s-a-presenta-magnum-50-de-h-upmann-en/.	Beginner seeking ultra-mild only, or user needs U.S. retail when cigar is island Cuban.	Recommend when the user cites this hall-of-fame stick, Magnum, or asks for a medium woodsy reference.	10		5¼ × 42 · Petit Corona				Maybe
CUR-29-UPMANN-VCM-ROB	H. Upmann	Vintage Cameroon	Robusto	Cameroon	Dominican Republic	Dominican Republic / Nicaragua	Cameroon wrapper sets top-note, color, and burn for this vitola.	Dominican Republic binder supports structure and integration with the filler.	Dominican Republic / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, nuts, cream, light spice, sweet tobacco	3	3	17	5.5	50	Arturo Fuente Don Carlos Personal Reserve Robusto · 5½ × 50 · Robusto · Medium · Dominican · $17 · Notes: cedar, baking spice, sweet tobacco, toast	Don Carlos Personal Reserve robusto — red-band, extra-aged Cameroon over Fuente Dominican core. Refined cedar, nuts, and baking spice; step above standard Don Carlos.	Verified against https://www.cigaraficionado.com/ratings/18577/name/h-upmann-vintage-cameroon-lonsdale.	Beginner nicotine-sensitive, opposite wrapper style, or very short time window.	Recommend when the user cites this hall-of-fame stick, Vintage Cameroon, or asks for a medium sweet spice reference.	10		5½ × 50 · Robusto				Yes
CA24-19-HERRERA-NORTENO	Herrera Esteli	Norteño	Lonsdale	Mexico	Nicaragua	Nicaragua	Mexico wrapper sets the top-note character, color, and burn personality for this vitola.	Nicaragua binder supports structure, combustion, and integration with the filler stack.	Nicaragua filler drives body, strength, and the core flavor arc Sterlon should echo.	cocoa, pepper, espresso, earth, dark cherry	4	5	6	4	44	Alec Bradley Chunk Maduro XL · 4½ × 60 · Robusto · Medium-Full · Honduras · $6 · Notes: cocoa, coffee, earth, dark sweetness	Chunk Maduro XL - wide short smoke, San Andrés cocoa and coffee. Big ring, small price.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/herrera-esteli-norteno-lonsdale-2024.	Beginner nicotine-sensitive, very short time window, or user wants opposite body/wrapper style.	Recommend when the user asks for 2024 Top 25 picks, Norteño, or a medium-full bourbon-friendly smoke at this size.	10		4½ × 60 · Robusto				Maybe
CUR-08-HOYO-EPICURE	Hoyo de Monterrey	Epicure	Epicure No. 2	Cuba	Cuba	Cuba	Cuba wrapper sets top-note, color, and burn for this vitola.	Cuba binder supports structure and integration with the filler.	Cuba filler drives body, strength, and the flavor arc Sterlon should echo.	delicate, aromatic, elegant, light, creamy	3	6	9	6.75	54	Arturo Fuente Chateau Fuente Double · 6¾ × 54 · Toro · Medium · Dominican · $9 · Notes: cream, cedar, nuts, toast	Double Chateau Connecticut - cream, nuts, and easy Fuente balance in a longer 54-ring smoke. Approachable premium afternoon.	Verified against https://www.habanos.com/en/the-habanos-brands-academia/hoyo-de-monterrey-brand/.	Beginner seeking ultra-mild only, or user needs U.S. retail when cigar is island Cuban.	Recommend when the user cites this hall-of-fame stick, Epicure, or asks for a medium creamy reference.	10		6¾ × 54 · Toro				Maybe
CUR-01-HOYO-SANJUAN	Hoyo de Monterrey	Le Hoyo de San Juan	San Juan	Cuba	Cuba	Cuba	Cuba wrapper sets top-note, color, and burn for this vitola.	Cuba binder supports structure and integration with the filler.	Cuba filler drives body, strength, and the flavor arc Sterlon should echo.	delicate, aromatic, elegant, light, complex	3	6	6	6	52	Punch Knuckle Buster Shade · 6 × 52 · Toro · Medium-Light · Honduras · $6 · Notes: cream, cedar, nuts, toast	Knuckle Buster toro - step up in length from stubby without leaving value tier.	Verified against https://www.habanos.com/en/news/hoyo-de-monterrey-le-hoyo-de-san-juan-en/.	Beginner seeking ultra-mild only, or user needs U.S. retail when cigar is island Cuban.	Recommend when the user cites this hall-of-fame stick, Le Hoyo de San Juan, or asks for a medium woodsy reference.	10		6 × 52 · Toro				Maybe
BB25-11-HVC-HOTCAKE-HC	HVC	Hot Cake Golden Line Connecticut	Half Corona	Ecuador Connecticut	Nicaragua	Nicaragua	Ecuador Connecticut wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cream, cedar, nuts, toast, light sweetness	2	3	6	4.5	60	Oliva Serie G Maduro Special G · 4½ × 60 · Figurado · Medium · Nicaragua · $6 · Notes: cocoa, earth, pepper, espresso	Serie G Maduro figurado - cocoa and coffee in a wide 60-ring short smoke. Fun shape, still under $7.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/hvc-hot-cake-golden-line-connecticut-half-corona-2025.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $5' requests - cite CA 2025 Best Buy list.	10		4½ × 60 · Figurado				Yes
CUR-28-LADC-CT-TORO	La Aroma de Cuba	Connecticut	Toro	Ecuador Connecticut	Nicaragua	Nicaragua	Ecuador Connecticut wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cream, vanilla, nougat, cedar	3	4	12	6.5	52	Oliva Serie V Melanio Maduro · 6½ × 52 · Torpedo · Medium-Full · Nicaragua · $12 · Notes: cocoa, earth, pepper, espresso	Melanio maduro in torpedo — longer, tapered draw concentrates Mexican wrapper cocoa and coffee. Different experience than the 5×50 robusto on the 2025 list.	Verified against https://www.cigaraficionado.com/ratings/25587/name/la-aroma-de-cuba-connecticut-churchill-churchill.	Beginner nicotine-sensitive, opposite wrapper style, or very short time window.	Recommend when the user cites this hall-of-fame stick, Connecticut, or asks for a medium creamy reference.	10		6½ × 52 · Torpedo				Yes
